,0,1
548,브런치,13
549,놀이,13
550,드,13
551,단어,13
552,독채풀,13
553,설레다,13
554,불멍,13
555,내려놓다,13
556,떨어지다,13
557,솜,13
558,홈,13
559,호캉스,13
560,일기,13
561,안목,13
562,재료,12
563,정확,12
564,컬러,12
565,오두막,12
566,대형,12
567,마트,12
568,식당,12
569,배치,12
570,씩,12
571,조,12
572,유지,12
573,자체,12
574,식탁,12
575,메뉴,12
576,서재,12
577,싱그럽다,12
578,구옥,12
579,와인,12
580,빛나다,12
581,황토,12
582,야자수,12
583,입욕,12
584,최고,12
585,락,12
586,천천히,12
587,강아지,12
588,투숙객,12
589,음료,12
590,그리다,12
591,프라이빗함,12
592,숙,12
593,테마,12
594,한국,12
595,피톤치드,12
596,아웃,12
597,서해,11
598,지붕,11
599,세련,11
600,프로젝터,11
601,잊다,11
602,댁,11
603,변하다,11
604,뒤,11
605,앤,11
606,여느,11
607,서까래,11
608,객리단길,11
609,모이다,11
610,의미,11
611,바구니,11
612,건축,11
613,바비큐,11
614,함,11
615,맥주,11
616,들어서다,11
617,동물,11
618,이스케이프,11
619,공원,11
620,본채,11
621,끼다,11
622,물품,11
623,온실,11
624,이색,11
625,훌쩍,11
626,고택,11
627,몰디브,11
628,벚꽃,11
629,타임,11
630,맨션,11
631,어렵다,10
632,베이지,10
633,잠,10
634,캡슐,10
635,여행객,10
636,쪽,10
637,소담,10
638,북스테,10
639,지니다,10
640,중심,10
641,주스,10
642,바,10
643,그네,10
644,그릴,10
645,하얗다,10
646,메인,10
647,마감,10
648,플레이,10
649,빠지다,10
650,네이버,10
651,풀리다,10
652,바깥,10
653,가운데,10
654,기장군,10
655,부산광역시,10
656,삶,10
657,시즌,10
658,덕분,10
659,지나다,10
660,내리쬐다,10
661,브,10
662,챙기다,10
663,떠오르다,10
664,울주,10
665,앞마당,10
666,전포동,10
667,리버뷰,10
668,비밀,10
669,자아내다,10
670,바깥채,10
671,움,10
672,해안로,10
673,온도,10
674,인터뷰,10
675,연남동,10
676,짝꿍,10
677,온화,10
678,해외여행,9
679,한라산,9
680,일어나다,9
681,스며들다,9
682,할머니,9
683,첨성대,9
684,볼거리,9
685,복잡,9
686,흔적,9
687,낮잠,9
688,너무나,9
689,샌드위치,9
690,과일,9
691,시내,9
692,차경,9
693,따다,9
694,과수원,9
695,알리다,9
696,제니,9
697,바래다,9
698,접근성,9
699,귤밭,9
700,켜다,9
701,파랗다,9
702,리틀,9
703,단위,9
704,섬세,9
705,손길,9
706,잔디밭,9
707,해먹다,9
708,사이즈,9
709,전주독채,9
710,맞닿다,9
711,여름휴가,9
712,날짜,9
713,편지,9
714,구분,9
715,섬진강,9
716,포토,9
717,셔,9
718,제주스테,9
719,원목,9
720,낚시,9
721,북한강,9
722,폭,9
723,눈부시다,9
724,사색,9
725,신선,9
726,모티브,9
727,신혼,9
728,웨이,9
729,아일랜드,9
730,지리산,9
731,담그다,9
732,더블,9
733,컨디션,9
734,요즘,9
735,종일,9
736,울다,9
737,연못,9
738,뿜다,9
739,저장,9
740,뷰맛집,9
741,쉽다,8
742,걱정,8
743,이내,8
744,만족,8
745,로맨틱,8
746,터,8
747,특유,8
748,디저트,8
749,내음,8
750,갈다,8
751,답답,8
752,즐거움,8
753,비추다,8
754,표시,8
755,발뮤,8
756,위로,8
757,바닥,8
758,자전거,8
759,시장,8
760,시끄럽다,8
761,전경,8
762,서초,8
763,온기,8
764,감귤,8
765,맛보다,8
766,웨이브,8
767,안노이,8
768,심플,8
769,미니멀,8
770,스위트룸,8
771,뿐,8
772,해돋이,8
773,올리브,8
774,냉장고,8
775,브라운,8
776,전라도,8
777,켠,8
778,온돌방,8
779,패밀리,8
780,우유,8
781,간식,8
782,아기,8
783,일본,8
784,모포,8
785,평수,8
786,희다,8
787,고유,8
788,경관,8
789,최대한,8
790,포항오션뷰,8
791,장점,8
792,유료,8
793,벽난로,8
794,변화,8
795,액자,8
796,파우더,8
797,알록달록,8
798,인근,8
799,거제남서,8
800,꿈꾸다,8
801,레,8
802,빌리다,8
803,아치,8
804,벽,8
805,히노끼,8
806,뷰맛,8
807,객,8
808,장작,8
809,카라반,8
810,건축가,8
811,고요함,8
812,듬뿍,8
813,완비,8
814,쇼,8
815,바다뷰,8
816,넉넉,8
817,캐나다,8
818,적절,8
819,예술,8
820,배우다,8
821,슈가브리,8
822,제주핫,8
823,월미도,8
824,유유,8
825,오늘,8
826,로컬,8
827,힘들다,7
828,지역,7
829,숨다,7
830,독채스테,7
831,화려,7
832,술,7
833,선사,7
834,들리다,7
835,토스터,7
836,별도,7
837,링,7
838,게임,7
839,견,7
840,모래,7
841,에어,7
842,시청,7
843,메이킷슬로,7
844,멈추다,7
845,감동,7
846,센터,7
847,내려다보이다,7
848,텃밭,7
849,금액,7
850,라이프,7
851,놀이터,7
852,수수료,7
853,송정해수욕장,7
854,동경,7
855,나름,7
856,이솝,7
857,녹이다,7
858,족욕,7
859,격,7
860,골,7
861,확정,7
862,느릿,7
863,그랜드,7
864,최,7
865,드링크,7
866,피다,7
867,색,7
868,화우,7
869,스토리,7
870,거제독채,7
871,구역,7
872,르컬렉티,7
873,보유,7
874,유유자적,7
875,한옥스테이,7
876,두바이,7
877,레트로,7
